UUID,Concat,Concat_Tokenized
8995045c-4516-4f6e-b894-75cc406770fe,École élémentaire Laure-Rièse339 Alton Towers Circle School,"[""École"", ""élémentaire"", ""Laure-Rièse"", ""339"", ""Alton"", ""Towers"", ""Circle"", ""School""]"
dcfd40ed-5239-4477-ab35-2e96dfa598b2,"École élémentaire Le Flambeau600, Novo star  Drive School","[""École"", ""élémentaire"", ""Le"", ""Flambeau"", ""600"", """", ""Novo"", ""star"", ""Drive"", ""School""]"
b2faf277-843c-460b-9968-56123b8e8b7e,"École élémentaire L'Héritage35, prom. Prince Charles School","[""École"", ""élémentaire"", ""L"", ""'"", ""Héritage"", ""35"", """", ""prom."", ""Prince"", ""Charles"", ""School""]"
62200146-0738-4802-a77e-e92c1631e12a,"École élémentaire L'Odyssée30, Brighton School","[""École"", ""élémentaire"", ""L"", ""'"", ""Odyssée"", ""30"", """", ""Brighton"", ""School""]"
86534911-87c7-4272-acda-8f4274a392a8,École élémentaire Louise-Charron2520 Cabana Rd W School,"[""École"", ""élémentaire"", ""Louise-Charron"", ""2520"", ""Cabana"", ""Rd"", ""W"", ""School""]"
1f5d2076-22b6-40c4-997c-869d6b49b8af,"Académie de la Moraine13200, Yonge  St School","[""Académie"", ""de"", ""la"", ""Moraine"", ""13200"", """", ""Yonge"", ""St"", ""School""]"
f9a14195-e8dd-4a69-8696-46a7f5e4d1af,"Académie de la Tamise1260, rue Dundas est School","[""Académie"", ""de"", ""la"", ""Tamise"", ""1260"", """", ""rue"", ""Dundas"", ""est"", ""School""]"
7cab3286-9ccb-457b-b3fd-e8f33340f54f,"Académie La Pinède116, chemin Waterloo est School","[""Académie"", ""La"", ""Pinède"", ""116"", """", ""chemin"", ""Waterloo"", ""est"", ""School""]"
3a1eae1e-41e5-4b09-b739-50b3fd9a0917,École élémentaire Bayview Nord44  Appian  Rd Other,"[""École"", ""élémentaire"", ""Bayview"", ""Nord"", ""44"", ""Appian"", ""Rd"", ""Other""]"
54739d8c-3fc4-4ec7-b556-29b213791c59,"École élémentaire Carrefour des jeunes375, rue Centre Nord School","[""École"", ""élémentaire"", ""Carrefour"", ""des"", ""jeunes"", ""375"", """", ""rue"", ""Centre"", ""Nord"", ""School""]"
6b5e8150-fb9b-4725-863e-09233cd9d7b7,"École élémentaire Champlain101, avenue Afton Other","[""École"", ""élémentaire"", ""Champlain"", ""101"", """", ""avenue"", ""Afton"", ""Other""]"
c6c77e8e-734c-4ff7-9e0d-f732cca14b0d,École élémentaire Dyane-Adam500 Cedar Hedge  Rd School,"[""École"", ""élémentaire"", ""Dyane-Adam"", ""500"", ""Cedar"", ""Hedge"", ""Rd"", ""School""]"
eb17ef63-6712-4279-b9a2-1430a75dd544,"École élémentaire Félix-Leclerc50, Celestine Drive School","[""École"", ""élémentaire"", ""Félix-Leclerc"", ""50"", """", ""Celestine"", ""Drive"", ""School""]"
021e7b7f-d22b-4967-bf4b-87be910094f9,"École élémentaire Gabrielle-Roy14, Pembroke Street School","[""École"", ""élémentaire"", ""Gabrielle-Roy"", ""14"", """", ""Pembroke"", ""Street"", ""School""]"
c71b93e2-6d6d-4ec0-ad3a-1d9572c5addc,École élémentaire La Mosaïque80 Queensdale Ave School,"[""École"", ""élémentaire"", ""La"", ""Mosaïque"", ""80"", ""Queensdale"", ""Ave"", ""School""]"
cf6d296b-5bf9-4fed-8220-4052e7e2395c,École élémentaire La Pommeraie3500  Settlement  TRAIL School,"[""École"", ""élémentaire"", ""La"", ""Pommeraie"", ""3500"", ""Settlement"", ""TRAIL"", ""School""]"
f7f556a5-50e0-436c-8286-8ef1d8aeca9a,"École élémentaire La Source70, Madelaine Drive School","[""École"", ""élémentaire"", ""La"", ""Source"", ""70"", """", ""Madelaine"", ""Drive"", ""School""]"
8288cdaf-8de6-4310-a9f0-c31a1b419001,"École élémentaire L'Envolée1799, rue Ottawa School","[""École"", ""élémentaire"", ""L"", ""'"", ""Envolée"", ""1799"", """", ""rue"", ""Ottawa"", ""School""]"
be8778bc-a890-48a4-aa9e-997f6389c23c,École élémentaire Les Rapides1103 Michigan Avenue School,"[""École"", ""élémentaire"", ""Les"", ""Rapides"", ""1103"", ""Michigan"", ""Avenue"", ""School""]"
9b06879e-c6ac-4d0e-85bd-a749e0612b90,École élémentaire L'Harmonie158 Bridgeport Rd  E School,"[""École"", ""élémentaire"", ""L"", ""'"", ""Harmonie"", ""158"", ""Bridgeport"", ""Rd"", ""E"", ""School""]"
6dbcff94-21e2-4d22-9080-3129a0932432,"École élémentaire Marie-Curie40, Hunt Club Dr. School","[""École"", ""élémentaire"", ""Marie-Curie"", ""40"", """", ""Hunt"", ""Club"", ""Dr."", ""School""]"
35c33994-d319-48f5-9358-3fd17029c083,"École élémentaire Mathieu-Da-Costa116, Cornelius Parkway School","[""École"", ""élémentaire"", ""Mathieu-Da-Costa"", ""116"", """", ""Cornelius"", ""Parkway"", ""School""]"
58e425e8-97fa-44e3-832c-e697a0e642e9,"École élémentaire Micheline-Saint-Cyr85, rue Forty first School","[""École"", ""élémentaire"", ""Micheline-Saint-Cyr"", ""85"", """", ""rue"", ""Forty"", ""first"", ""School""]"
ddc847e2-600e-467a-b22d-95ec2a50d6d2,"École élémentaire Nouvel Horizon621, chemin Quaker School","[""École"", ""élémentaire"", ""Nouvel"", ""Horizon"", ""621"", """", ""chemin"", ""Quaker"", ""School""]"
8da622ec-28a9-4e91-ae3e-51f1ce837b0d,"École élémentaire Patricia-Picknell1257, Sedgewick Crescent School","[""École"", ""élémentaire"", ""Patricia-Picknell"", ""1257"", """", ""Sedgewick"", ""Crescent"", ""School""]"
f7225b7b-7c0f-413d-902a-9e0948010685,École élémentaire Paul Demers100 Ravel  Rd School,"[""École"", ""élémentaire"", ""Paul"", ""Demers"", ""100"", ""Ravel"", ""Rd"", ""School""]"
d49193ca-b4aa-4330-80be-b5d18e3910b2,École élémentaire Viola-Léger116  Ontario  St School,"[""École"", ""élémentaire"", ""Viola-Léger"", ""116"", ""Ontario"", ""St"", ""School""]"
5dd9715f-5c5c-4399-954a-fb996ed97ad6,École Franco-Niagara670 Tanguay  Ave School,"[""École"", ""Franco-Niagara"", ""670"", ""Tanguay"", ""Ave"", ""School""]"
cb1e0791-4686-4ff4-a8c6-6a128b4c6d14,"École publique Saint-Joseph30, rue Poyntz School","[""École"", ""publique"", ""Saint-Joseph"", ""30"", """", ""rue"", ""Poyntz"", ""School""]"
